Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Total Sales,Rating
Low Fat,DRD13,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.049070183,61.9168,4.5
Regular,FDI48,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0,51.2666,4.5
Regular,FDZ49,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.13312044,221.5798,4.5
Regular,FDJ02,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.025162022,145.9418,4.5
Regular,FDJ15,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.023318068,182.4608,4.5
Regular,FDO52,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.077150004,170.2106,4.5
Regular,FDU58,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.029006239,186.0898,4.5
Regular,FDN46,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.14460413,102.6332,4.5
Regular,FDO46,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.014209811,188.1872,4.5
Regular,FDI34,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.085119855,229.8668,4.5
Regular,FDG22,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.041373331,38.119,4.5
Regular,DRC13,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.032435437,124.873,4.5
Low Fat,FDB17,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.061381589,179.9976,4.5
Low Fat,FDZ44,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.064824502,116.0808,4.5
Low Fat,DRK35,Hard Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,0.120256303,39.2506,4.5
Low Fat,NCP29,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.187918654,65.4168,4.5
Low Fat,NCZ29,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.119461188,126.3362,4.5
Low Fat,NCS30,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.155706798,127.9652,4.5
Low Fat,NCA42,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.047784475,158.8604,4.5
Low Fat,NCH55,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.058034349,124.802,4.5
Low Fat,FDT58,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.143870574,169.4816,4.5
Low Fat,FDZ45,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.111936685,198.8084,4.5
Low Fat,FDO57,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.181958524,161.0578,4.5
Regular,FDT12,Baking Goods,2011,OUT010,Tier 3,High,Grocery Store,0.083056555,224.4062,4.5
Regular,FDW12,Baking Goods,2011,OUT010,Tier 3,High,Grocery Store,0.059540542,143.6444,4.5
Regular,FDF26,Canned,2011,OUT010,Tier 3,High,Grocery Store,0.078057026,154.5998,4.5
Regular,FDV37,Canned,2011,OUT010,Tier 3,High,Grocery Store,0.139785104,196.2426,4.5
Regular,FDW38,Dairy,2011,OUT010,Tier 3,High,Grocery Store,0.23212188,55.5298,4.5
Regular,FDS04,Frozen Foods,2011,OUT010,Tier 3,High,Grocery Store,0.245483691,141.8838,4.5
Regular,FDO22,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.029893094,81.096,4.5
Regular,FDJ58,Snack Foods,2011,OUT010,Tier 3,Small,Grocery Store,0.176244038,173.6764,4.5
low fat,FDW13,Canned,2011,OUT010,Tier 3,Small,Grocery Store,0.163838951,51.3324,4.5
Low Fat,FDH48,Baking Goods,2000,OUT013,Tier 3,High,Supermarket Type1,0,88.054,4.5
Low Fat,FDO37,Breakfast,2000,OUT013,Tier 3,High,Supermarket Type1,0.021358889,232.3326,4.5
Low Fat,FDD14,Canned,2000,OUT013,Tier 3,High,Supermarket Type1,0.169667145,183.5266,4.5
Low Fat,FDV38,Dairy,2000,OUT013,Tier 3,High,Supermarket Type1,0.101689151,54.6956,4.5
Low Fat,FDC41,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.116815953,75.567,4.5
Low Fat,FDE57,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.03625493,141.0154,4.5
Low Fat,FDS07,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.099674817,112.2518,4.5
Low Fat,NCJ30,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0,169.379,4.5
Low Fat,NCI06,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.04767798,181.466,4.5
Low Fat,FDO34,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.029914022,166.2816,4.5
Low Fat,FDE46,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.01575657,153.1366,4.5
Low Fat,DRH37,Soft Drinks,2000,OUT013,Tier 3,High,Supermarket Type1,0.041581725,163.3526,4.5
Regular,FDH02,Canned,2000,OUT013,Tier 3,High,Supermarket Type1,0.02076385,89.0488,4.5
Regular,FDC51,Dairy,2000,OUT013,Tier 3,High,Supermarket Type1,0.009613854,122.973,4.5
Regular,FDT07,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.077254736,257.633,4.5
Regular,FDJ44,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.106238768,176.1396,4.5
Regular,FDO22,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.017844609,81.396,4.5
reg,FDI10,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.078339081,172.9422,4.5
LF,FDF04,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.013692598,259.7304,4.5
LF,FDD11,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,253.004,4.5
Low Fat,FDN12,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,111.8544,4.5
Low Fat,FDD14,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.170500183,184.1266,4.5
Low Fat,FDQ52,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.119871307,248.3434,4.5
Low Fat,FDJ08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.111122936,189.2846,4.5
Low Fat,FDY19,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.041533438,119.8466,4.5
Low Fat,DRM11,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.066338717,261.4278,4.5
Low Fat,NCP41,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.016276741,109.8596,4.5
Low Fat,NCP17,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.027827268,65.6168,4.5
Low Fat,NCS38,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.090558833,112.6176,4.5
Low Fat,DRJ25,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.151180862,47.5692,4.5
Regular,FDY26,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.030634813,212.9244,4.5
Regular,FDV20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.060045008,128.3678,4.5
Regular,FDV57,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,179.766,4.5
Low Fat,FDP11,Breads,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.068765925,216.9166,4.5
Low Fat,FDR23,Breads,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.08139146,177.837,4.5
Low Fat,FDB27,Dairy,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.055121892,196.7768,4.5
Low Fat,FDK51,Dairy,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.005209791,265.2884,4.5
Low Fat,FDK28,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.065272284,256.1646,4.5
Low Fat,FDK52,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0,225.3062,4.5
Low Fat,FDU52,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.063462048,157.563,4.5
Low Fat,NCK05,Health and Hygiene,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.077079177,61.5536,4.5
Low Fat,NCA06,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.142589751,35.919,4.5
Low Fat,NCE06,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.091042211,162.6894,4.5
Low Fat,NCG07,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.052247806,190.853,4.5
Low Fat,NCH54,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.072317217,160.792,4.5
Low Fat,NCT18,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.05911748,181.5976,4.5
Low Fat,NCZ06,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.09370568,253.8698,4.5
Low Fat,NCL07,Others,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.0311868,39.548,4.5
Regular,FDF24,Baking Goods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.02524761,81.9934,4.5
Regular,FDF26,Canned,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.046408928,153.2998,4.5
Regular,FDR40,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.00799548,78.5618,4.5
Regular,FDW16,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.041273391,91.6804,4.5
Regular,FDY04,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.042270751,162.521,4.5
Regular,FDO31,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.028842332,81.496,4.5
Regular,FDF34,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.013951504,199.9084,4.5
Regular,DRC36,Soft Drinks,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.044767032,173.7054,4.5
low fat,FDW24,Baking Goods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.037315469,50.0034,4.5
low fat,FDQ23,Breads,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.024407061,102.3332,4.5
low fat,NCS05,Health and Hygiene,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.020876485,133.7942,4.5
reg,FDT26,Dairy,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.067624438,120.944,4.5
Low Fat,NCD19,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0,53.8614,4.4
Low Fat,FDB34,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.026480954,87.6198,4.4
Low Fat,DRK35,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.071958197,38.0506,4.4
Regular,FDB56,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07461309,187.4556,4.4
Low Fat,FDP09,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.034027909,212.0902,4.4
Low Fat,FDG02,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.011307038,188.5188,4.4
Regular,FDM15,Meat,2000,OUT013,Tier 3,High,Supermarket Type1,0.057373797,151.4366,4.4
Regular,FDO08,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.09415375,165.7526,4.4
Low Fat,FDT43,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.020631654,50.1324,4.4
Low Fat,FDI24,Baking Goods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.078362484,177.937,4.4
Regular,FDS46,Snack Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.082741482,118.7782,4.4
Regular,FDG28,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.049559042,246.4144,4.4
Low Fat,FDG24,Baking Goods,2000,OUT013,Tier 3,High,Supermarket Type1,0.014618973,85.225,4.4
Low Fat,FDQ56,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.10550944,85.6908,4.4
Low Fat,FDX23,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.029691762,92.6436,4.4
Regular,FDR44,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.102920886,130.4968,4.4
Regular,FDU01,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.011995271,184.5924,4.4
Regular,FDP59,Breads,2015,OUT045,Tier 2,Small,Supermarket Type1,0.056580228,105.6648,4.4
Low Fat,NCV17,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.01619866,129.2626,4.4
Low Fat,FDZ15,Dairy,2010,OUT046,Tier 1,Small,Supermarket Type1,0.020870744,117.3782,4.4
Low Fat,FDA36,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.005677876,184.8924,4.4
Low Fat,FDV51,Meat,2011,OUT010,Tier 3,Small,Grocery Store,0.054463442,163.8842,4.4
Low Fat,NCT41,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,0.098031771,151.3024,4.4
Low Fat,NCK54,Household,2020,OUT017,Tier 2,Medium,Supermarket Type1,0,117.815,4.4
Low Fat,FDE16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.026384672,208.9954,4.4
LF,FDE53,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.026749991,106.928,4.4
Low Fat,NCL19,Others,2017,OUT035,Tier 2,Small,Supermarket Type1,0.015673267,145.047,4.4
Regular,FDT32,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.065316099,189.9214,4.4
Low Fat,FDC46,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.115978122,183.4266,4.4
Low Fat,FDS10,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.0350152,182.0318,4.4
Low Fat,FDC04,Dairy,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.044767801,241.8854,4.4
Low Fat,NCJ30,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.080968973,171.379,4.4
Regular,FDQ15,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.150341867,83.1276,4.4
Regular,FDV01,Canned,1998,OUT027,Tier 3,Medium,Supermarket Type3,0,154.6314,4.4
Regular,FDJ57,Seafood,2017,OUT035,Tier 2,Small,Supermarket Type1,0.021569566,184.8582,4.4
Low Fat,NCE31,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.184843579,33.1216,4.4
Low Fat,FDV07,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0,110.4228,4.4
Low Fat,FDD04,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.090153756,143.2154,4.4
LF,NCC18,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.177545624,172.4422,4.4
LF,NCL31,Others,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.120467994,145.147,4.4
LF,FDA33,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.033952603,148.2076,4.4
Low Fat,FDT59,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,229.4668,4.4
Low Fat,FDE26,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.089144149,144.9786,4.4
Low Fat,FDB50,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.153857402,76.3986,4.4
Low Fat,FDC17,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.015484763,211.9928,4.4
Low Fat,FDM44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.031097948,103.899,4.4
Low Fat,DRI11,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.034457776,113.3834,4.4
Low Fat,DRL47,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,125.9362,4.4
Low Fat,NCB30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.025742955,197.1084,4.4
Low Fat,NCI18,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.014045832,222.7746,4.4
Low Fat,NCP06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.039306822,150.7366,4.4
Low Fat,NCO02,Others,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,65.0142,4.4
Low Fat,DRE37,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.094366079,190.9872,4.4
Low Fat,DRD24,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.030842963,143.1154,4.4
Low Fat,DRL37,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.053455158,43.677,4.4
Regular,FDJ12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.039101813,208.8296,4.4
Regular,FDX11,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.106918052,183.5634,4.4
Regular,FDJ60,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.062625641,165.3184,4.4
Regular,FDB37,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.022976493,240.3538,4.4
Regular,FDC51,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.009636821,121.873,4.4
Regular,FDY15,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.171093639,155.663,4.4
Regular,FDV04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.150248468,155.2288,4.4
Regular,FDB56,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.074743226,187.6556,4.4
Regular,FDY20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.081879864,91.7488,4.4
Regular,FDK32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.049051717,152.4682,4.4
Regular,FDP44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.079837509,102.1332,4.4
Regular,FDS32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.029700018,140.3838,4.4
Regular,FDG09,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.048010812,187.7556,4.4
Regular,FDW51,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.094807042,213.356,4.4
Regular,FDK58,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.045052492,102.6016,4.4
Regular,FDA09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.149598628,179.466,4.4
Regular,FDM58,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,110.0544,4.4
Regular,DRM49,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,43.0086,4.4
Regular,DRA59,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.128126825,183.6924,4.4
Regular,FDD47,Starchy Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.142632186,172.3448,4.4
reg,FDC03,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.071958197,195.3794,4.4
reg,FDU31,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02502991,218.4508,4.4
LF,FDX24,Baking Goods,1998,OUT019,Tier 1,Small,Grocery Store,0.024387984,92.4462,4.4
Low Fat,DRG27,Dairy,1998,OUT019,Tier 1,Small,Grocery Store,0.184035253,42.2138,4.4
Low Fat,FDF16,Frozen Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.150806666,149.0076,4.4
Low Fat,FDH08,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.030516069,227.801,4.4
Low Fat,FDR08,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.065872936,113.1886,4.4
Low Fat,FDU07,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.104784329,150.4366,4.4
Low Fat,FDU32,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.045465958,120.8414,4.4
Low Fat,NCT53,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,0.084245356,164.6526,4.4
Low Fat,NCB19,Household,1998,OUT019,Tier 1,Small,Grocery Store,0.158096128,86.3882,4.4
Low Fat,FDK43,Meat,1998,OUT019,Tier 1,Small,Grocery Store,0.046994717,125.802,4.4
Low Fat,NCL55,Others,1998,OUT019,Tier 1,Small,Grocery Store,0.113212516,254.604,4.4
Low Fat,FDK33,Snack Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.019671473,214.756,4.4
Low Fat,FDX09,Snack Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.114243048,174.937,4.4
Low Fat,FDZ22,Snack Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.079261744,81.825,4.4
Regular,FDY38,Dairy,1998,OUT019,Tier 1,Small,Grocery Store,0.208662546,231.83,4.4
Regular,FDE28,Frozen Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.232072674,229.4668,4.4
Regular,FDP40,Frozen Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.060154968,110.1544,4.4
Regular,FDY39,Meat,1998,OUT019,Tier 1,Small,Grocery Store,0.08234117,185.7608,4.4
Regular,FDQ45,Snack Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.019114349,182.1608,4.4
Regular,FDE11,Starchy Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.23653561,184.1924,4.4
low fat,FDD51,Dairy,1998,OUT019,Tier 1,Small,Grocery Store,0.210021713,44.2744,4.4
LF,FDJ41,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.02288328,261.2594,4.4
Low Fat,FDP60,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0,102.9016,4.4
Low Fat,FDZ48,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.075959623,112.4544,4.4
Low Fat,FDU59,Breads,2010,OUT046,Tier 1,Small,Supermarket Type1,0.096386227,163.5552,4.4
Low Fat,FDC50,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.136497913,96.3094,4.4
Low Fat,DRF03,Dairy,2010,OUT046,Tier 1,Small,Supermarket Type1,0.045308131,42.5138,4.4
Low Fat,FDT28,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.06356617,151.3708,4.4
Low Fat,DRN11,Hard Drinks,2010,OUT046,Tier 1,Small,Supermarket Type1,0.162980276,145.2444,4.4
Low Fat,NCI29,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,0.032621545,143.2154,4.4
Low Fat,NCA53,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,0.009878459,47.6034,4.4
Low Fat,NCT41,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,0.055990291,153.2024,4.4
Low Fat,NCM53,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,0.052040915,105.728,4.4
Low Fat,NCM30,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.067295406,41.9796,4.4
Low Fat,NCN43,Others,2010,OUT046,Tier 1,Small,Supermarket Type1,0,123.773,4.4
Low Fat,NCP43,Others,2010,OUT046,Tier 1,Small,Supermarket Type1,0.03050705,180.366,4.4
Low Fat,FDA33,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.033899898,146.9076,4.4
Low Fat,FDP57,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0,102.999,4.4
Low Fat,FDE46,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.015769693,152.1366,4.4
Low Fat,FDA22,Starchy Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.084452363,165.2158,4.4
Regular,FDW40,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.105145451,144.2812,4.4
Regular,FDH05,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.090913642,231.2984,4.4
Regular,FDW16,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.041474232,93.0804,4.4
Regular,FDT07,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.077319079,255.433,4.4
Regular,FDC33,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.06893834,196.4768,4.4
Regular,FDO39,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.137366883,184.9608,4.4
Regular,FDI21,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.056602818,63.2168,4.4
Regular,FDW09,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.025920816,81.2302,4.4
Regular,FDN58,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.056872392,231.1984,4.4
LF,FDA23,Baking Goods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.047453947,101.7016,4.4
LF,FDR02,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.022190488,113.1886,4.4
Low Fat,FDT36,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.111500259,35.6874,4.4
Low Fat,FDQ12,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.035482562,231.401,4.4
Low Fat,FDS23,Breads,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.141174838,127.0994,4.4
Low Fat,FDS35,Breads,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.11144608,64.6826,4.4
Low Fat,FDX59,Breads,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.051766042,34.5558,4.4
Low Fat,FDF14,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.027224917,152.934,4.4
Low Fat,FDU25,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.026735372,57.4246,4.4
Low Fat,FDT37,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0,253.7014,4.4
Low Fat,FDX26,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.087986599,181.4292,4.4
Low Fat,FDX16,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.06594351,149.105,4.4
Low Fat,FDA56,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.008782561,119.8414,4.4
Low Fat,FDP07,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.090084098,197.211,4.4
Low Fat,NCD43,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.016052446,106.7964,4.4
Low Fat,NCT06,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.038816115,166.4842,4.4
Low Fat,NCI18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.014052469,224.0746,4.4
Low Fat,NCB43,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.100114941,188.3898,4.4
Low Fat,FDQ39,Meat,2015,OUT045,Tier 2,Small,Supermarket Type1,0.081206491,189.2846,4.4
Low Fat,FDK45,Seafood,2015,OUT045,Tier 2,Small,Supermarket Type1,0.033926852,111.586,4.4
Low Fat,FDK33,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.011258035,211.656,4.4
Low Fat,FDK48,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.037845086,75.5354,4.4
Low Fat,FDH48,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.06082246,85.154,4.4
Low Fat,FDZ38,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.008046275,173.7422,4.4
